% Model:              hydro_005.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 16 2025, 10:51
% Dimension:          3
% Nodes:              3184
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% x                       y                        z                        u2 (m/s) @ t=1           v2 (m/s) @ t=1           w2 (m/s) @ t=1           p2 (Pa) @ t=1
3.664457701685484E-4      2.6244601400525014E-4    5.0E-4                   -1.6587932636518883E-10  -3.0013213417022015E-11  -1.5699210099941707E-9   0.10711538314018625
4.152455649642559E-4      1.7366746519827627E-4    5.0E-4                   -2.69313837092394E-10    2.4965790709479754E-11   -1.5716236797760328E-9   0.10711539658014474
3.569663718928157E-4      3.569663718928157E-4     5.000000000000002E-4     -1.3317582911369925E-10  -1.3317199668350237E-10  -1.4332460565226764E-9   0.10711537321104157
5.0E-4                    4.2782582350684107E-4    3.508403956938639E-4     -2.8809102786777134E-10  -1.535452566755528E-10   -1.514157857140127E-9    0.10711535296187151
4.477655460227702E-4      3.660258887818761E-4     3.76326031267393E-4      -2.669868399290536E-10   -1.1757019631849579E-10  -1.5908129202663834E-9   0.10711535077504179
3.9012267287664857E-4     3.9012267287664857E-4    4.249326754975482E-4     -1.7778632853163409E-10  -1.7778632853163409E-10  -1.5250263299598657E-9   0.10711536287236453
4.349719487949729E-4      4.349719487949729E-4     3.4318686275102735E-4    -2.022972458245271E-10   -2.022972458245271E-10   -1.6101599272948876E-9   0.10711533937479632
5.0E-4                    5.0E-4                   2.9999999999999987E-4    -2.254295499432493E-10   -2.2543101519360655E-10  -1.562336106481889E-9    0.10711533256197783
5.0E-4                    4.194356076650545E-4     2.558191747270226E-4     -2.5293612192922144E-10  -1.1883805851000522E-10  -1.7374990028742257E-9   0.10711529555788736
4.2422220170270535E-4     3.275870760599636E-4     -5.0E-4                  2.4011761205342386E-10   7.613717810669436E-11    -1.36154679327302E-9     0.10711468645441745
4.408489240250296E-4      2.579071236245714E-4     -5.0E-4                  2.943629151062105E-10    6.965768288990038E-12    -1.419225633173258E-9    0.10711467695352059
3.924017062143803E-4      2.774341976242924E-4     -4.415251694971428E-4    2.275366460512565E-10    5.187712816994113E-11    -1.6342596774241444E-9   0.1071146967804609
5.0E-4                    4.108952010295759E-4     -3.4798147126704267E-4   2.987139426029216E-10    1.325750748320907E-10    -1.5376616551977144E-9   0.10711471503937074
3.918652442635573E-4      3.918652442635573E-4     -4.0886581212218814E-4   1.8008372016878632E-10   1.8008372016878632E-10   -1.5611561721454477E-9   0.10711470924780733
3.5696637189281614E-4     3.5696637189281614E-4    -5.0E-4                  1.3362364927724432E-10   1.336164136743455E-10    -1.4332688579643563E-9   0.10711468973622897
4.478806150554797E-4      4.478806150554797E-4     -3.4879307635865434E-4   2.1044135820464538E-10   2.1044135820464538E-10   -1.5648131996295512E-9   0.10711472070194715
4.999999999999999E-4      4.999999999999999E-4     -3.0E-4                  2.2543613404191668E-10   2.2544359147859242E-10   -1.5630121911275427E-9   0.10711473114982412
4.409607607419202E-4      3.45648872084438E-4      -3.202601061745802E-4    2.612033652908987E-10    9.681649335630693E-11    -1.7535904365103231E-9   0.1071147406433184
5.0E-4                    3.093762226850356E-4     -3.413488480654627E-4    3.6990212575058125E-10   2.630525396625215E-11    -1.62955361660151E-9     0.10711471193090631
5.0E-4                    3.447943116377382E-4     -2.7475235388273455E-4   3.158630296484814E-10    5.021534811238215E-11    -1.751286538690308E-9    0.10711475478103014
4.17062691147291E-4       2.9611345918752527E-4    -3.8305033899428567E-4   2.6519773562553256E-10   6.538841496557254E-11    -1.702392641532278E-9    0.10711471565006038
5.0E-4                    4.203875872079553E-4     -2.4216284674889903E-4   2.4389121262871256E-10   1.1540288376891759E-10   -1.7643034656154832E-9   0.10711477860920059
5.0E-4                    1.5591347148917323E-4    4.2889718705401157E-4    -4.708372758674441E-10   4.500244421472351E-11    -1.5319383148577438E-9   0.10711540620278681
4.999999999999999E-4      9.999999999999996E-5     4.999999999999999E-4     -4.675248784397204E-10   4.342666915474495E-11    -1.4212267056739445E-9   0.10711542769920195
5.0E-4                    1.9999999999999998E-4    5.0E-4                   -4.291000001720648E-10   4.565858816243802E-11    -1.3559130363039786E-9   0.10711541145443158
4.534408546041302E-4      1.0129001949465027E-4    4.5847958433517755E-4    -3.851450108904981E-10   2.8331629278411682E-11   -1.6168789705323365E-9   0.10711540554390193
4.3020858399132254E-4     6.445042553423492E-5     5.0E-4                   -3.1549885475649293E-10  2.2511357584976242E-11   -1.6125820318833937E-9   0.10711541191082574
